       1,    4.700000e-02,    3.750000e-02
       2,    4.641268e-02,    4.120820e-02
       3,    4.470820e-02,    4.455342e-02
       4,    4.205342e-02,    4.720820e-02
       5,    3.870820e-02,    4.891268e-02
       6,    3.500000e-02,    4.950000e-02
       7,    3.129180e-02,    4.891268e-02
       8,    2.794658e-02,    4.720820e-02
       9,    2.529180e-02,    4.455342e-02
      10,    2.358732e-02,    4.120820e-02
      11,    2.300000e-02,    3.750000e-02
      12,    2.358732e-02,    3.379180e-02
      13,    2.529180e-02,    3.044658e-02
      14,    2.794658e-02,    2.779180e-02
      15,    3.129180e-02,    2.608732e-02
      16,    3.500000e-02,    2.550000e-02
      17,    3.870820e-02,    2.608732e-02
      18,    4.205342e-02,    2.779180e-02
      19,    4.470820e-02,    3.044658e-02
      20,    4.641268e-02,    3.379180e-02
      21,    2.121437e-01,    3.750000e-02
      22,    1.978562e-01,    3.750000e-02
      23,    2.111867e-01,    4.107188e-02
      24,    2.085719e-01,    4.368667e-02
      25,    2.050000e-01,    4.464375e-02
      26,    2.014281e-01,    4.368667e-02
      27,    1.988133e-01,    4.107188e-02
      28,    1.988133e-01,    3.392812e-02
      29,    2.014281e-01,    3.131333e-02
      30,    2.050000e-01,    3.035625e-02
      31,    2.085719e-01,    3.131333e-02
      32,    2.111867e-01,    3.392812e-02
      33,    0.000000e+00,    7.500000e-02
      34,    0.000000e+00,    0.000000e+00
      35,    0.000000e+00,    7.105263e-02
      36,    0.000000e+00,    6.710526e-02
      37,    0.000000e+00,    6.315789e-02
      38,    0.000000e+00,    5.921053e-02
      39,    0.000000e+00,    5.526316e-02
      40,    0.000000e+00,    5.131579e-02
      41,    0.000000e+00,    4.736842e-02
      42,    0.000000e+00,    4.342105e-02
      43,    0.000000e+00,    3.947368e-02
      44,    0.000000e+00,    3.552632e-02
      45,    0.000000e+00,    3.157895e-02
      46,    0.000000e+00,    2.763158e-02
      47,    0.000000e+00,    2.368421e-02
      48,    0.000000e+00,    1.973684e-02
      49,    0.000000e+00,    1.578947e-02
      50,    0.000000e+00,    1.184211e-02
      51,    0.000000e+00,    7.894737e-03
      52,    0.000000e+00,    3.947368e-03
      53,    2.300000e-01,    7.500000e-02
      54,    2.261017e-01,    7.500000e-02
      55,    2.222034e-01,    7.500000e-02
      56,    2.183051e-01,    7.500000e-02
      57,    2.144068e-01,    7.500000e-02
      58,    2.105085e-01,    7.500000e-02
      59,    2.066102e-01,    7.500000e-02
      60,    2.027119e-01,    7.500000e-02
      61,    1.988136e-01,    7.500000e-02
      62,    1.949153e-01,    7.500000e-02
      63,    1.910169e-01,    7.500000e-02
      64,    1.871186e-01,    7.500000e-02
      65,    1.832203e-01,    7.500000e-02
      66,    1.793220e-01,    7.500000e-02
      67,    1.754237e-01,    7.500000e-02
      68,    1.715254e-01,    7.500000e-02
      69,    1.676271e-01,    7.500000e-02
      70,    1.637288e-01,    7.500000e-02
      71,    1.598305e-01,    7.500000e-02
      72,    1.559322e-01,    7.500000e-02
      73,    1.520339e-01,    7.500000e-02
      74,    1.481356e-01,    7.500000e-02
      75,    1.442373e-01,    7.500000e-02
      76,    1.403390e-01,    7.500000e-02
      77,    1.364407e-01,    7.500000e-02
      78,    1.325424e-01,    7.500000e-02
      79,    1.286441e-01,    7.500000e-02
      80,    1.247458e-01,    7.500000e-02
      81,    1.208475e-01,    7.500000e-02
      82,    1.169492e-01,    7.500000e-02
      83,    1.130508e-01,    7.500000e-02
      84,    1.091525e-01,    7.500000e-02
      85,    1.052542e-01,    7.500000e-02
      86,    1.013559e-01,    7.500000e-02
      87,    9.745763e-02,    7.500000e-02
      88,    9.355932e-02,    7.500000e-02
      89,    8.966102e-02,    7.500000e-02
      90,    8.576271e-02,    7.500000e-02
      91,    8.186441e-02,    7.500000e-02
      92,    7.796610e-02,    7.500000e-02
      93,    7.406780e-02,    7.500000e-02
      94,    7.016949e-02,    7.500000e-02
      95,    6.627119e-02,    7.500000e-02
      96,    6.237288e-02,    7.500000e-02
      97,    5.847458e-02,    7.500000e-02
      98,    5.457627e-02,    7.500000e-02
      99,    5.067797e-02,    7.500000e-02
     100,    4.677966e-02,    7.500000e-02
     101,    4.288136e-02,    7.500000e-02
     102,    3.898305e-02,    7.500000e-02
     103,    3.508475e-02,    7.500000e-02
     104,    3.118644e-02,    7.500000e-02
     105,    2.728814e-02,    7.500000e-02
     106,    2.338983e-02,    7.500000e-02
     107,    1.949153e-02,    7.500000e-02
     108,    1.559322e-02,    7.500000e-02
     109,    1.169492e-02,    7.500000e-02
     110,    7.796610e-03,    7.500000e-02
     111,    3.898305e-03,    7.500000e-02
     112,    2.300000e-01,    0.000000e+00
     113,    2.300000e-01,    3.947368e-03
     114,    2.300000e-01,    7.894737e-03
     115,    2.300000e-01,    1.184211e-02
     116,    2.300000e-01,    1.578947e-02
     117,    2.300000e-01,    1.973684e-02
     118,    2.300000e-01,    2.368421e-02
     119,    2.300000e-01,    2.763158e-02
     120,    2.300000e-01,    3.157895e-02
     121,    2.300000e-01,    3.552632e-02
     122,    2.300000e-01,    3.947368e-02
     123,    2.300000e-01,    4.342105e-02
     124,    2.300000e-01,    4.736842e-02
     125,    2.300000e-01,    5.131579e-02
     126,    2.300000e-01,    5.526316e-02
     127,    2.300000e-01,    5.921053e-02
     128,    2.300000e-01,    6.315789e-02
     129,    2.300000e-01,    6.710526e-02
     130,    2.300000e-01,    7.105263e-02
     131,    3.898305e-03,    0.000000e+00
     132,    7.796610e-03,    0.000000e+00
     133,    1.169492e-02,    0.000000e+00
     134,    1.559322e-02,    0.000000e+00
