Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
89       -5.842262e+00  -6.550797e+00  7.085346e-01   1.21e-01  
90       -4.775589e+00  -5.460580e+00  6.849909e-01   1.43e-01  
91       -3.695699e+00  -4.340736e+00  6.450372e-01   1.75e-01  
92       -2.676747e+00  -3.245075e+00  5.683274e-01   2.12e-01  
93       -1.786292e+00  -2.264423e+00  4.781310e-01   2.68e-01  
94       -1.075405e+00  -1.446795e+00  3.713897e-01   3.45e-01  
95       -5.699895e-01  -8.307197e-01  2.607302e-01   4.57e-01  
96       -2.636891e-01  -4.283638e-01  1.646747e-01   6.25e-01  
97       -1.117553e-01  -1.960514e-01  8.429607e-02   7.54e-01  
98       -2.575890e-02  -5.344532e-02  2.768642e-02   1.07e+00  
99       -4.962454e-03  -3.802825e-03  1.159629e-03   2.34e-01  
100      9.054775e-03   1.354238e-02   4.487601e-03   4.96e-01  
101      -9.247527e-02  -8.717006e-02  5.305206e-03   5.74e-02  
102      -9.474930e-02  -1.116712e-01  1.692187e-02   1.79e-01  
103      -9.567273e-02  -1.286514e-01  3.297871e-02   3.45e-01  
104      -9.581597e-02  -1.180156e-01  2.219961e-02   2.32e-01  
105      -9.164985e-02  -1.104463e-01  1.879646e-02   2.05e-01  
106      -8.317217e-02  -1.006456e-01  1.747343e-02   2.10e-01  
107      -7.122402e-02  -8.804182e-02  1.681780e-02   2.36e-01  
108      -5.711254e-02  -7.090489e-02  1.379235e-02   2.41e-01  
109      -4.262722e-02  -5.604784e-02  1.342061e-02   3.15e-01  
110      -3.007237e-02  -4.085041e-02  1.077804e-02   3.58e-01  
111      -2.233192e-02  -3.358127e-02  1.124936e-02   5.04e-01  
112      -2.299060e-02  -3.594096e-02  1.295035e-02   5.63e-01  
113      -3.650621e-02  -4.827893e-02  1.177272e-02   3.22e-01  
114      -6.839364e-02  -8.443521e-02  1.604158e-02   2.35e-01  
115      -1.253569e-01  -1.435415e-01  1.818459e-02   1.45e-01  
116      -2.152974e-01  -2.448819e-01  2.958448e-02   1.37e-01  
117      -3.471356e-01  -3.955695e-01  4.843386e-02   1.40e-01  
118      -5.303993e-01  -6.024729e-01  7.207363e-02   1.36e-01  
119      -7.745577e-01  -8.829243e-01  1.083666e-01   1.40e-01  
120      -1.088106e+00  -1.243128e+00  1.550222e-01   1.42e-01  
121      -1.477439e+00  -1.697003e+00  2.195647e-01   1.49e-01  
122      -1.945600e+00  -2.241239e+00  2.956389e-01   1.52e-01  
123      -2.491037e+00  -2.880213e+00  3.891758e-01   1.56e-01  
124      -3.106530e+00  -3.604850e+00  4.983199e-01   1.60e-01  
125      -3.778493e+00  -4.402574e+00  6.240808e-01   1.65e-01  
126      -4.486810e+00  -5.242573e+00  7.557636e-01   1.68e-01  
127      -5.205287e+00  -6.105641e+00  9.003546e-01   1.73e-01  
128      -5.902746e+00  -6.948823e+00  1.046078e+00   1.77e-01  
129      -6.544638e+00  -7.737669e+00  1.193031e+00   1.82e-01  
130      -7.095033e+00  -8.426599e+00  1.331566e+00   1.88e-01  
131      -7.518808e+00  -8.976654e+00  1.457846e+00   1.94e-01  
132      -7.783943e+00  -9.353869e+00  1.569926e+00   2.02e-01  
133      -7.863912e+00  -9.512294e+00  1.648381e+00   2.10e-01  
134      -7.740244e+00  -9.441748e+00  1.701504e+00   2.20e-01  
135      -7.405316e+00  -9.123083e+00  1.717768e+00   2.32e-01  
136      -6.865254e+00  -8.562952e+00  1.697698e+00   2.47e-01  
137      -6.142431e+00  -7.786175e+00  1.643744e+00   2.68e-01  
138      -5.276616e+00  -6.818707e+00  1.542091e+00   2.92e-01  
139      -4.323612e+00  -5.729795e+00  1.406183e+00   3.25e-01  
140      -3.350569e+00  -4.590961e+00  1.240392e+00   3.70e-01  
141      -2.428084e+00  -3.476960e+00  1.048876e+00   4.32e-01  
142      -1.620412e+00  -2.466767e+00  8.463549e-01   5.22e-01  
143      -9.758629e-01  -1.617638e+00  6.417749e-01   6.58e-01  
144      -5.192785e-01  -9.699966e-01  4.507181e-01   8.68e-01  
145      -2.472806e-01  -5.411921e-01  2.939115e-01   1.19e+00  
146      -1.252681e-01  -2.944969e-01  1.692288e-01   1.35e+00  
147      -8.392087e-02  -1.712203e-01  8.729946e-02   1.04e+00  
148      -1.362672e-02  -1.298736e-02  6.393641e-04   4.69e-02  
149      1.070934e-02   4.285357e-02   3.214423e-02   3.00e+00  
150      6.088499e-02   8.027178e-02   1.938679e-02   3.18e-01  
151      -7.962399e-02  -6.724622e-02  1.237778e-02   1.55e-01  
152      -8.227793e-02  -8.566008e-02  3.382144e-03   4.11e-02  
153      -8.304407e-02  -9.756104e-02  1.451698e-02   1.75e-01  
154      -8.292820e-02  -9.273208e-02  9.803881e-03   1.18e-01  
155      -7.692723e-02  -8.235202e-02  5.424789e-03   7.05e-02  
156      -6.611360e-02  -7.111566e-02  5.002064e-03   7.57e-02  
157      -5.185986e-02  -5.530819e-02  3.448333e-03   6.65e-02  
158      -3.591856e-02  -3.635523e-02  4.366690e-04   1.22e-02  
159      -2.045578e-02  -2.389720e-02  3.441425e-03   1.68e-01  
160      -8.072128e-03  -1.045009e-02  2.377966e-03   2.95e-01  
161      -1.823283e-03  -4.124558e-03  2.301276e-03   1.26e+00  
162      -5.262357e-03  -7.258677e-03  1.996320e-03   3.79e-01  
163      -2.251693e-02  -2.789170e-02  5.374767e-03   2.39e-01  
164      -5.839340e-02  -5.798552e-02  4.078783e-04   6.99e-03  
165      -1.184775e-01  -1.208787e-01  2.401122e-03   2.03e-02  
166      -2.091792e-01  -2.169065e-01  7.727280e-03   3.69e-02  
167      -3.376555e-01  -3.480961e-01  1.044065e-02   3.09e-02  
168      -5.115445e-01  -5.293061e-01  1.776165e-02   3.47e-02  
169      -7.384544e-01  -7.684159e-01  2.996149e-02   4.06e-02  
170      -1.025175e+00  -1.067456e+00  4.228134e-02   4.12e-02  
171      -1.376619e+00  -1.433283e+00  5.666401e-02   4.12e-02  
172      -1.794563e+00  -1.870268e+00  7.570441e-02   4.22e-02  
173      -2.276321e+00  -2.371968e+00  9.564617e-02   4.20e-02  
174      -2.813557e+00  -2.934443e+00  1.208862e-01   4.30e-02  
175      -3.391475e+00  -3.540835e+00  1.493593e-01   4.40e-02  
176      -3.988628e+00  -4.165939e+00  1.773113e-01   4.45e-02  
177      -4.577469e+00  -4.784936e+00  2.074670e-01   4.53e-02  
178      -5.125694e+00  -5.360517e+00  2.348223e-01   4.58e-02  
179      -5.598239e+00  -5.864814e+00  2.665755e-01   4.76e-02  
180      -5.959739e+00  -6.252197e+00  2.924580e-01   4.91e-02  
181      -6.177247e+00  -6.495425e+00  3.181778e-01   5.15e-02  
182      -6.223073e+00  -6.551357e+00  3.282834e-01   5.28e-02  
183      -6.077757e+00  -6.414251e+00  3.364947e-01   5.54e-02  
184      -5.733237e+00  -6.078430e+00  3.451926e-01   6.02e-02  
